requirement_id,domain,module,mode,operation,user_outcome,release,priority,risk,required_capability,preview_policy,snapshot_policy,rollback_policy,dependency,source_ids,acceptance_evidence
REQ-0065,elementor,elementor,read,element settings read,An agency operator reads an element's current settings before changing them so a partial update never overwrites values nobody inspected,V1.1,must,low,edit_post on document,not-applicable,not-applicable,not-applicable,REQ-0033,SRC-0006;SRC-0011,returned current settings for one addressed element while the stored document JSON remained unchanged
REQ-0066,elementor,elementor,read,element search within a document,An agency operator locates the element to change on an unfamiliar client page by element type widget type or settings content instead of reading the whole tree,V1.1,should,low,edit_post on document,not-applicable,not-applicable,not-applicable,REQ-0033,SRC-0006;SRC-0011,returned matching element identifiers and paths for a type filter and for a settings-content filter with non-matching elements absent
REQ-0067,elementor,elementor,read,element and container control schema discovery,An agency operator obtains the parameter schema an element type accepts so an AI client writes valid settings instead of guessing key names,V1.1,must,low,edit_post on document,not-applicable,not-applicable,not-applicable,REQ-0034,SRC-0006;SRC-0011;SRC-0028,returned a schema derived from the installed Elementor's own control definitions for a named widget type and for a container while an unknown type was refused with target_not_found
REQ-0068,elementor,elementor,write,batched element settings update,An agency operator applies many element changes to one page as a single reviewed change so a redesign is one preview and one save rather than dozens,V1.1,should,medium,edit_post on document,required,required,supported,REQ-0005;REQ-0037,SRC-0006;SRC-0011,every listed element updated under one plan token in one document save while a batch containing one invalid entry was refused whole and changed nothing
REQ-0069,elementor,elementor,read,global design token read,An agency operator reads a client site's shared colour palette and typography before making any page match the brand,V1.1,should,low,edit_theme_options; market evidence EMCP-CAP-008,not-applicable,not-applicable,not-applicable,REQ-0032,SRC-0006;SRC-0011,returned the active kit's colour and typography tokens with identifiers stable enough to reference in a later write
REQ-0070,elementor,elementor,write,global colour palette update,An agency operator corrects a client's brand colours once at site level instead of editing every page that uses them,V1.1,could,medium,edit_theme_options; market evidence EMCP-CAP-008,required,required,supported,REQ-0005;REQ-0069,SRC-0006;SRC-0011,named palette entries updated under a plan token with unnamed entries unchanged and the prior palette restorable from the snapshot
REQ-0071,elementor,elementor,write,global typography update,An agency operator corrects a client's shared typography once at site level so type stays consistent across every page,V1.1,could,medium,edit_theme_options; market evidence EMCP-CAP-008,required,required,supported,REQ-0005;REQ-0069,SRC-0006;SRC-0011,named typography entries updated under a plan token with unnamed entries unchanged and the prior settings restorable from the snapshot
REQ-0072,media,media,write,image resize,An agency operator brings an oversized client asset within the sizes the theme actually renders without leaving the library,V1.1,could,medium,upload_files,required,required,supported,REQ-0005;REQ-0022,SRC-0002;SRC-0011,resized rendition generated for an existing attachment with the original recorded in the snapshot and a request exceeding the site's limits refused with invalid_input
REQ-0073,system,core,read,subprocess transport bridge for stdio-only clients,An agency operator connects an AI client that launches its server as a local subprocess and speaks only stdio to a client site that publishes HTTP,V1.1,must,low,read; market evidence EMCP-CAP-001,not-applicable,not-applicable,not-applicable,REQ-0004,SRC-0001;SRC-0003;SRC-0009;SRC-0010,a stdio-only MCP client completed initialize tools/list and one read operation against a remote site through the bridge with the session identifier preserved across calls
REQ-0074,system,core,read,published client connection configurations,An agency operator connects a supported AI client on the first attempt instead of assembling endpoint authentication and transport settings by hand,V1.1,should,low,read; market evidence EMCP-CAP-001,not-applicable,not-applicable,not-applicable,REQ-0073,SRC-0001;SRC-0003,shipped configuration examples covering the supported clients and both transports each verified to connect unmodified apart from site address and credentials
REQ-0075,system,diagnostics,read,per-operation input schema on demand,An AI client fetches the full input schema for one named operation when it needs it instead of holding every schema in context up front,V1.1,should,low,read; market evidence EMCP-CAP-002,not-applicable,not-applicable,not-applicable,REQ-0002,SRC-0001;SRC-0002;SRC-0011,returned the complete input schema for one named operation while the dispatcher catalog continued to return summaries only and an unauthorized caller received no schema
REQ-0076,system,core,write,request host validation,An agency trusts that a connector still pointed at a retired client domain cannot drive changes on the site now answering that address,V1.1,should,medium,none; enforced before authentication,not-applicable,not-applicable,not-applicable,REQ-0006,SRC-0003,a request carrying a host header that does not match the site address was refused before dispatch while a request with no host header was still served so the endpoint cannot be bricked
REQ-0077,content,core,write,block editor content operations,An agency operates the block-built half of a mixed-builder client site instead of being able to change only its Elementor pages,roadmap,should,medium,edit_post on target; market evidence EMCP-CAP-010,required,required,supported,REQ-0005,SRC-0009;SRC-0011;SRC-0027,blocks read inserted updated moved and removed by stable address within one post under the two-phase flow with the prior content restorable from the snapshot
REQ-0078,elementor,elementor,read,page composition digest,An agency operator gets a compact account of what a client page contains without paying to read the entire element tree,roadmap,could,low,edit_post on document,not-applicable,not-applicable,not-applicable,REQ-0033,SRC-0006;SRC-0011,returned a digest naming structure design tokens in use and content summary that is materially smaller than the full tree read for the same document
REQ-0079,content,core,write,redirect and broken-link management,An agency keeps client traffic and search rankings intact when pages are renamed retired or restructured,roadmap,could,medium,manage_options deferred; market evidence SRC-0009,required,required,supported,REQ-0005,SRC-0009,redirects created listed amended and withdrawn under the two-phase flow and a scan reporting content links that resolve to missing or redirected targets
REQ-0080,elementor,elementor,write,theme-builder template and display conditions,An agency maintains a client's shared headers footers and archive templates rather than only individual pages,roadmap,could,medium,edit_theme_options deferred; market evidence EMCP-CAP-007,required,required,supported,REQ-0005;REQ-0032,SRC-0006;SRC-0011,theme-builder templates created amended and assigned display conditions under the two-phase flow with the prior assignment restorable from the snapshot
