requirement_id,domain,module,mode,operation,user_outcome,release,priority,risk,required_capability,preview_policy,snapshot_policy,rollback_policy,dependency,source_ids,acceptance_evidence
REQ-0001,system,diagnostics,read,system environment discovery,An agency operator confirms WordPress core PHP theme and supported plugin versions on a client site before planning any change,V1,must,low,manage_options,not-applicable,not-applicable,not-applicable,none,SRC-0002;SRC-0009;SRC-0011,returned environment report listing WordPress PHP theme and supported plugin versions with no credentials or filesystem paths present
REQ-0002,system,diagnostics,read,operation catalog discovery,An AI client discovers every available operation with schemas and permissions instead of relying on memorized prompts,V1,must,low,read; market evidence EMCP-CAP-002,not-applicable,not-applicable,not-applicable,none,SRC-0001;SRC-0004;SRC-0011,dispatcher called without an operation returned a catalog of operation IDs descriptions input schemas and required capabilities
REQ-0003,system,diagnostics,read,integration health status,An agency operator sees which bundled modules are active inactive or version-blocked so missing capabilities are explained before work begins,V1,must,low,manage_options; market evidence EMCP-CAP-034,not-applicable,not-applicable,not-applicable,none,SRC-0002;SRC-0009;SRC-0011,returned per-module status marking one incompatible module unavailable while unrelated modules remained active
REQ-0004,system,diagnostics,read,connection and authentication diagnostics,An agency operator verifies MCP connectivity and Application Password authentication during onboarding without reading server logs,V1,must,low,read,not-applicable,not-applicable,not-applicable,none,SRC-0001;SRC-0003,diagnostic call returned the resolved WordPress username and transport status for a valid credential and authentication_failed for an invalid one
REQ-0005,system,core,write,change preview generation,An agency operator inspects exactly what a proposed write will change on a client site before anything executes,V1,must,low,capability of the previewed operation,not-applicable,not-applicable,not-applicable,none,SRC-0001;SRC-0003;SRC-0010;SRC-0014,returned deterministic plan diff plus a short-lived opaque plan token while target state remained unchanged
REQ-0006,system,core,write,token-bound plan execution,An agency operator knows a write executes only when the exact previewed plan is approved by the same authenticated user,V1,must,medium,capability of the executed operation,required,required,supported,REQ-0005,SRC-0001;SRC-0003;SRC-0009;SRC-0014,state unchanged after rejected plan token with a stale_plan error returned for expired or replayed tokens
REQ-0007,system,core,write,post-write state verification,An agency operator receives proof that WordPress state matches the approved plan rather than assuming success,V1,must,low,capability of the executed operation,not-applicable,not-applicable,supported,REQ-0006,SRC-0002;SRC-0003,verification_failed error returned when the persisted state diverged from the approved plan payload
REQ-0008,system,core,write,rollback execution,An agency operator reverses a supported write on a client site without manual database repair,V1,must,medium,capability of the original operation re-checked at restore time,required,required,supported,REQ-0006,SRC-0003;SRC-0009;SRC-0010;SRC-0014,restored revision content after rollback call verified by re-reading the target
REQ-0009,system,core,read,audit log read,An agency operator reviews who changed what and when on a client site for accountability reporting,V1,must,low,manage_options,not-applicable,not-applicable,not-applicable,none,SRC-0003;SRC-0009;SRC-0014,returned audit entries containing actor MCP client operation target plan fingerprint timestamp and outcome with secrets redacted
REQ-0010,content,core,read,content listing,An agency operator inventories posts pages and custom post type entries across a client site before proposing edits,V1,must,low,edit_posts; market evidence EMCP-CAP-012,not-applicable,not-applicable,not-applicable,none,SRC-0002;SRC-0003;SRC-0011,returned normalized paginated listing with post IDs types statuses and modified timestamps
