source_id,title,publisher,evidence_class,url,accessed_on,license_or_terms,claims_supported,admissibility_notes
SRC-0001,MCP Specification 2025-11-25,Model Context Protocol,official-doc,https://modelcontextprotocol.io/specification/2025-11-25,2026-07-23,Public specification; site terms apply,"MCP roles, JSON-RPC base protocol, capability negotiation, tools/resources/prompts","Protocol requirements only; no competitor implementation"
SRC-0002,WordPress Abilities API Handbook,WordPress.org,official-doc,https://developer.wordpress.org/apis/abilities-api/,2026-07-23,Public developer documentation,"WordPress 6.9 floor, standardized ability registration, JSON Schema, permission callbacks","Primary WordPress API source"
SRC-0003,WordPress REST API Authentication Handbook,WordPress.org,official-doc,https://developer.wordpress.org/rest-api/using-the-rest-api/authentication/,2026-07-23,Public developer documentation,"Cookie authentication, nonces, Application Passwords, capability enforcement","Primary authentication source"
SRC-0004,WordPress MCP Adapter,WordPress,public-repository-metadata,https://github.com/WordPress/mcp-adapter,2026-07-23,GPL-2.0-or-later,"Canonical WordPress MCP adapter, transports, validation, observability, custom permissions","README and repository metadata only"
SRC-0005,Automattic WordPress MCP,Automattic,public-repository-metadata,https://github.com/Automattic/wordpress-mcp,2026-07-23,No license metadata published,"Historical WordPress MCP feature set, migration to WordPress MCP Adapter","README and repository metadata only; treated as historical"
SRC-0006,Elementor Data Structure,Elementor,official-doc,https://developers.elementor.com/docs/data-structure/,2026-07-23,Public developer documentation,"Elementor JSON document structure, page metadata storage, responsive and element documentation links","Primary Elementor feasibility source"
SRC-0007,ACF Resources,WP Engine / ACF,official-doc,https://www.advancedcustomfields.com/resources/,2026-07-23,Public developer documentation,"ACF field groups, field types, functions, actions, filters, and value APIs","Primary ACF feasibility source"
SRC-0008,Meta Box Documentation,MetaBox.io,official-doc,https://docs.metabox.io/,2026-07-23,Public developer documentation,"Meta Box field creation, value functions, validation, sanitization, extensions, and database behavior","Primary Meta Box feasibility source"
SRC-0009,EMCP Public Repository,msrbuilds,public-repository-metadata,https://github.com/msrbuilds/elementor-mcp,2026-07-23,GPL-2.0-or-later,"Public positioning, release history, supported domains and integrations, WordPress and PHP requirements","README, releases, and repository metadata only; no implementation source inspected"
SRC-0010,EMCP Product Page,EMCP Tools,public-product-page,https://emcptools.com/,2026-07-23,Public website; site terms apply,"Commercial positioning, client compatibility, claimed tool count, page-building and WordPress operations","Marketing claims are attributed and not treated as independently verified"
SRC-0011,EMCP Tools Overview,EMCP Tools,public-product-page,https://emcptools.com/docs/tools/overview/,2026-07-23,Public documentation; site terms apply,"Free and paid tool counts, public capability categories, default enablement, integrations","Behavior-level inventory only; no schemas or implementation copied"
SRC-0012,EMCP Pricing,EMCP Tools,public-product-page,https://emcptools.com/pricing/,2026-07-23,Public website; site terms apply,"Free versus Pro packaging, annual and lifetime pricing, licensing tiers, included commercial assets","Prices are time-sensitive observations dated 2026-07-23"
SRC-0013,WP MCP Ultimate,AgriciDaniel,public-repository-metadata,https://github.com/AgriciDaniel/wp-mcp-ultimate,2026-07-23,GPL-2.0-or-later,"58 WordPress abilities, HTTP transport, API-key dashboard, client-config export, conflict detection","README and repository metadata only"
SRC-0014,Respira WordPress MCP,Respira,public-repository-metadata,https://github.com/respira-press/respira-wordpress-mcp,2026-07-23,MIT wrapper; commercial plugin license,"172 claimed tools, 12 page builders, snapshots, governance, paid plugin dependency from EUR 9 monthly","Public listing and README claims; proprietary implementation not inspected"
SRC-0015,WordPress MCP Server 190 Tools,RaheesAhmed,public-repository-metadata,https://github.com/RaheesAhmed/wordpress-mcp-server,2026-07-23,MIT,"Claimed 190+ tools, broad WordPress control, npm distribution, authentication approaches","README and repository metadata only"
SRC-0016,Claudeus WordPress MCP,deus-h,public-repository-metadata,https://github.com/deus-h/claudeus-wp-mcp,2026-07-23,Repository reports Other license,"WordPress MCP server, Application Password and JWT authentication claims","README and repository metadata only"
SRC-0017,WooCommerce MCP Server,techspawn,public-repository-metadata,https://github.com/techspawn/woocommerce-mcp-server,2026-07-23,MIT,"WooCommerce product and metadata CRUD through MCP","Adjacent commerce-specialist evidence; README only"
SRC-0018,Elementor MCP,aguaitech,public-repository-metadata,https://github.com/aguaitech/Elementor-MCP,2026-07-23,No license metadata published,"Simple Elementor-specific MCP server positioning","Repository metadata only; insufficient evidence for detailed capability claims"
SRC-0019,GitHub WordPress MCP Repository Search,GitHub,public-repository-metadata,https://github.com/search?q=wordpress%20mcp&type=repositories,2026-07-23,GitHub terms apply,"Breadth and activity of public WordPress MCP repositories","Discovery source; individual claims require repository sources"
SRC-0020,GitHub Elementor MCP Repository Search,GitHub,public-repository-metadata,https://github.com/search?q=elementor%20mcp&type=repositories,2026-07-23,GitHub terms apply,"Breadth and activity of public Elementor MCP repositories","Discovery source; individual claims require repository sources"
SRC-0021,GitHub WooCommerce MCP Repository Search,GitHub,public-repository-metadata,https://github.com/search?q=woocommerce%20mcp&type=repositories,2026-07-23,GitHub terms apply,"Breadth and activity of public WooCommerce MCP repositories","Discovery source; individual claims require repository sources"
SRC-0022,WordPress.org Plugin Information API,WordPress.org,official-doc,https://api.wordpress.org/plugins/info/1.2/,2026-07-23,Public API; WordPress.org terms apply,"Exact candidate-name and slug collision checks across the plugin directory","All twelve queries returned no exact candidate name or slug on 2026-07-23"
SRC-0023,Verisign COM RDAP Service,Verisign,official-doc,https://rdap.verisign.com/com/v1/,2026-07-23,Public RDAP service; service terms apply,"Registration record checks for each candidate's matching .com domain","A missing RDAP record is an observation, not a guarantee that a domain can be purchased"
